PERMNO,date,TICKER,COMNAM,CUSIP,FACPR,PRC,CFACPR
14593,20000103,AAPL,APPLE COMPUTER INC,3783310,,111.9375,28
14593,20000104,AAPL,APPLE COMPUTER INC,3783310,,102.5,28
14593,20000105,AAPL,APPLE COMPUTER INC,3783310,,104,28
14593,20000106,AAPL,APPLE COMPUTER INC,3783310,,95,28
14593,20000107,AAPL,APPLE COMPUTER INC,3783310,,99.5,28
14593,20000110,AAPL,APPLE COMPUTER INC,3783310,,97.75,28
14593,20000111,AAPL,APPLE COMPUTER INC,3783310,,92.75,28
14593,20000112,AAPL,APPLE COMPUTER INC,3783310,,87.1875,28
14593,20000113,AAPL,APPLE COMPUTER INC,3783310,,96.75,28
14593,20000114,AAPL,APPLE COMPUTER INC,3783310,,100.4375,28
14593,20000118,AAPL,APPLE COMPUTER INC,3783310,,103.9375,28
14593,20000119,AAPL,APPLE COMPUTER INC,3783310,,106.5625,28
14593,20000120,AAPL,APPLE COMPUTER INC,3783310,,113.5,28
14593,20000121,AAPL,APPLE COMPUTER INC,3783310,,111.3125,28
14593,20000124,AAPL,APPLE COMPUTER INC,3783310,,106.25,28
14593,20000125,AAPL,APPLE COMPUTER INC,3783310,,112.25,28
14593,20000126,AAPL,APPLE COMPUTER INC,3783310,,110.1875,28
14593,20000127,AAPL,APPLE COMPUTER INC,3783310,,110,28
14593,20000128,AAPL,APPLE COMPUTER INC,3783310,,101.625,28
14593,20000131,AAPL,APPLE COMPUTER INC,3783310,,103.75,28
14593,20000201,AAPL,APPLE COMPUTER INC,3783310,,100.25,28
14593,20000202,AAPL,APPLE COMPUTER INC,3783310,,98.8125,28
14593,20000203,AAPL,APPLE COMPUTER INC,3783310,,103.3125,28
14593,20000204,AAPL,APPLE COMPUTER INC,3783310,,108,28
14593,20000207,AAPL,APPLE COMPUTER INC,3783310,,114.0625,28
14593,20000208,AAPL,APPLE COMPUTER INC,3783310,,114.875,28
14593,20000209,AAPL,APPLE COMPUTER INC,3783310,,112.625,28
14593,20000210,AAPL,APPLE COMPUTER INC,3783310,,113.5,28
